image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6256.JPG,847,469,847,188,79,0.42021276595744683,57.281987418507285,1.7953920989101593,0.300577683018685,0.2129026076995863,0.9294787908832708,"[[-8.138803483583717e-08, 6.732791511053851e-06, -0.0005960341582448658], [-4.165582566754848e-06, -2.3695374493919862e-08, -0.0583514880700134], [-0.0002451842601549366, 0.054881281243622106, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6259.JPG,847,860,847,128,34,0.265625,64.4803286771454,4.578712268216388,0.3081212994399503,0.14609532780881918,0.895761707851371,"[[-1.3384278757379066e-09, 4.33272114639097e-06, -0.0028984974213063816], [-2.4081588883722994e-06, 9.964185106173101e-08, -0.0011400640635731948], [0.0013960809015920997, -0.0005647187609662876, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6262.JPG,847,643,847,113,26,0.23008849557522124,123.98382104245475,50.52728833947088,0.28095456868917107,0.2107947518719948,0.9277540550257889,"[[2.6495084096906145e-06, -2.189491724955886e-07, -0.0015171663895466529], [-9.620083350462649e-07, 7.606393533854205e-08, 0.0005568862198026249], [-0.0017319641910677962, 0.00013842456173948447, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6265.JPG,847,857,847,89,24,0.2696629213483146,60.48458191707522,24.538105350448905,0.13753315526611057,0.08093661751833131,0.3671013433443273,"[[2.9622036259682587e-06, -6.67092640363985e-07, -0.0015450182431112779], [-1.0700291072605034e-06, 2.1528169989799754e-07, 0.000555789455284126], [-0.0019153660387830481, 0.00044232036943436066, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6268.JPG,847,884,847,49,11,0.22448979591836735,96.4401474837159,81.0813664650858,0.10502621740317108,1.0675168413121352e-12,0.6460591176664875,"[[1.693129853530259e-06, -6.161295151910789e-08, -0.001138991015218895], [-3.8256030873406423e-07, 1.5638690886522572e-08, 0.00018575064808741386], [-0.0014294284968101136, 5.1095769268806266e-05, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6271.JPG,847,898,847,66,14,0.21212121212121213,129.03094369798356,118.17708622359491,0.08105490257592991,1.248310634188325e-12,0.48878859162755534,"[[9.147333551463743e-06, -1.149845736108431e-05, 0.0022374058848723525], [3.529873345317816e-06, 5.138116270883369e-06, -0.005500336303049225], [-0.008380496808761963, 0.005945541714611939, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6280.JPG,847,817,847,61,13,0.21311475409836064,100.29301370282695,55.39467292475577,0.028152120555513492,4.0973343832923466e-13,0.1404841848621069,"[[6.413051206130861e-06, 2.0060289796143887e-06, -0.006729264168339919], [-6.763010318160314e-06, -2.7306143443188595e-07, 0.0047793504920139495], [0.0008063157969343356, -0.0012156636300994354, 0.9999999999999999]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6283.JPG,847,822,847,56,10,0.17857142857142858,116.84796474043742,73.25035827628446,0.10759474161243361,8.109309099953672e-14,0.7111610128851984,"[[4.4159897246085e-06, -3.611006969568551e-06, -0.0016411801501735861], [1.1671725969745924e-06, 3.054776330349384e-06, -0.0012751561516303569], [-0.0017813734192390328, -0.00015373705140852046, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6286.JPG,847,843,847,61,18,0.29508196721311475,107.2218316096277,49.74089175480177,0.08561509277158529,0.021833440029167504,0.47556891318316297,"[[4.356422016182953e-07, 5.869211394634784e-07, -0.0010643776941912729], [2.994114484497936e-07, 2.4189297710831815e-07, -0.0005177094347752489], [-0.00028422013575812166, -0.000613708131875898, 0.9999999999999999]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6253.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6289.JPG,847,1298,847,47,12,0.2553191489361702,135.5553070734399,80.58372050820873,0.02787847520956031,1.3727557086370722e-11,0.3345417014703668,"[[1.4438519463384481e-06, -1.6940741043359061e-07, -0.0009130562160718308], [2.7158517925171225e-07, -1.0802198277192433e-07, -0.0001168559359009296], [-0.0016474983346824634, 0.0002513503327499304, 1.0]]"
