image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6271.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6280.JPG,898,817,898,355,223,0.6281690140845071,7.568528814399811,0.6301377201396599,0.38655307690622215,0.3513928265047502,0.9386791124951546,"[[6.930952011180792e-08, 7.484682709359872e-06, 0.00014168382731214732], [-7.073199646363761e-06, 1.4741205396197535e-07, 0.01256622403879513], [-0.0008076191202107634, -0.012274850224518607, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6265.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6268.JPG,857,884,857,305,208,0.6819672131147541,13.21705399729224,0.614752552524116,0.382123405276837,0.3186422869828307,0.9486001134221941,"[[8.720155323065578e-07, 3.168547564471106e-05, -0.03159072325579023], [-2.595220485372659e-05, -1.5407535496965202e-06, -0.08664364939782206], [0.025822723953776508, 0.07966040836981829, 1.0]]"
/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6301.JPG,/home/kane/code/GF4/week2/Dataset_mode/images/IMG_6304.JPG,692,1111,692,183,113,0.6174863387978142,15.007378730685971,0.5043078491795373,0.3089086778344236,0.2558560601405073,0.851231496497223,"[[-2.7139992593377537e-07, 2.4679982715083507e-06, 0.002108829811201959], [3.057796183228255e-06, 3.7505775997830394e-07, -0.05193545003196939], [-0.0028652848088389134, 0.04732375563726782, 1.0]]"
